brand_id	name	domain	missing_role	available_role	original_cohort
carrier-global	Carrier Global	carrier.com	icon	logo	logo
telstra	Telstra	telstra.com.au	logo	icon	icon
kansai-electric-power	Kansai Electric Power	kepco.co.jp	logo	icon	icon
air-liquide	Air Liquide	airliquide.com	logo	icon	icon
p-t-t	PTT	pttplc.com	logo	icon	icon
trane-technologies	Trane Technologies	tranetechnologies.com	logo	icon	icon
singtel	Singtel	singtel.com	icon	logo	logo
air-products	Air Products	airproducts.com	icon	logo	logo
intesa-sanpaolo	Intesa Sanpaolo	intesasanpaolo.com	icon	logo	empty
sinopec	Sinopec	sinopec.com	icon	logo	empty
zimmer-biomet	Zimmer Biomet	zimmerbiomet.com	logo	icon	icon
edp	EDP	edp.com	logo	icon	icon
lyondellbasell	LyondellBasell	lyondellbasell.com	logo	icon	icon
unicredit	UniCredit	unicreditgroup.eu	logo	icon	icon
petrochina	PetroChina	petrochina.com.cn	icon	logo	empty
ais-thailand	AIS	ais.th	logo	icon	empty
celanese	Celanese	celanese.com	logo	icon	icon
cnooc	CNOOC	cnooc.com.cn	logo	icon	empty
saint-gobain	Saint-Gobain	saint-gobain.com	icon	logo	empty
vodacom	Vodacom	vodacom.com	logo	icon	icon
ecolab	Ecolab	ecolab.com	logo	icon	icon
abn-amro	ABN AMRO	abnamro.com	icon	logo	logo
woodside-energy	Woodside Energy	woodside.com	icon	logo	empty
santos	Santos	santos.com	logo	icon	icon
labcorp	Labcorp	labcorp.com	logo	icon	icon
origin-energy	Origin Energy	originenergy.com.au	logo	icon	icon
michelin	Michelin	michelin.com	icon	logo	empty
novo-nordisk	Novo Nordisk	novonordisk.com	logo	icon	empty
rbc	Royal Bank of Canada	rbc.com	icon	logo	empty
enbridge	Enbridge	enbridge.com	icon	logo	logo
coca-cola-company	The Coca-Cola Company	coca-colacompany.com	icon	logo	empty
pdd-holdings	PDD Holdings	pddholdings.com	icon	logo	empty
horst-brandstaetter-group	Horst Brandstätter Group	horst-brandstaetter-group.com	logo	icon	icon
tokopedia	Tokopedia	tokopedia.com	icon	logo	empty
doritos	Doritos	doritos.com	logo	icon	empty
tide	Tide	tide.com	icon	logo	logo
maybelline	Maybelline	maybelline.com	icon	logo	empty
associated-british-foods	Associated British Foods	abf.co.uk	icon	logo	empty
waitrose	Waitrose	waitrose.com	icon	logo	empty
b-and-q	B&Q	diy.com	icon	logo	empty
namshi	Namshi	namshi.com	icon	logo	empty
extra	eXtra	extra.com	logo	icon	icon
femsa	FEMSA	femsa.com	icon	logo	logo
blinkit	Blinkit	blinkit.com	logo	icon	empty
bigbasket	BigBasket	bigbasket.com	logo	icon	icon
tanishq	Tanishq	tanishq.co.in	icon	logo	empty
amul	Amul	amul.com	icon	logo	logo
sm-prime	SM Prime	smprime.com	logo	icon	icon
bolt	Bolt	bolt.eu	icon	logo	empty
prime-video	Prime Video	primevideo.com	icon	logo	empty
amazon-music	Amazon Music	music.amazon.com	logo	icon	icon
youtube	YouTube	youtube.com	icon	logo	logo
instagram	Instagram	instagram.com	logo	icon	icon
sky	Sky	sky.com	icon	logo	logo
xfinity	Xfinity	xfinity.com	logo	icon	icon
alipay	Alipay	alipay.com	logo	icon	icon
ant-group	Ant Group	antgroup.com	icon	logo	empty
xiaohongshu	Xiaohongshu	xiaohongshu.com	logo	icon	icon
capital-a	Capital A	capitala.com	logo	icon	icon
malaysia-aviation-group	Malaysia Aviation Group	malaysiaaviationgroup.com.my	icon	logo	empty
accor	Accor	accor.com	logo	icon	icon
msc-group	MSC Group	msc.com	logo	icon	empty
toyota-lexus	Lexus	lexus.com	logo	icon	icon
mitsubishi-fuso	Mitsubishi Fuso	mitsubishi-fuso.com	icon	logo	empty
harley-davidson	Harley-Davidson	harley-davidson.com	logo	icon	icon
hisense	Hisense	hisense.com	icon	logo	empty
garmin	Garmin	garmin.com	logo	icon	empty
fujifilm	Fujifilm	fujifilm.com	icon	logo	logo
acer	Acer	acer.com	icon	logo	empty
oneplus	OnePlus	oneplus.com	icon	logo	empty
pokemon	Pokémon	pokemon.com	icon	logo	empty
transformers	Transformers	transformers.com	icon	logo	empty
monopoly	Monopoly	monopoly.com	icon	logo	empty
dior	Dior	dior.com	logo	icon	empty
tim-hortons	Tim Hortons	timhortons.com	logo	icon	icon
bandai-namco-holdings	Bandai Namco Holdings	bandainamco.co.jp	logo	icon	icon
salomon	Salomon	salomon.com	logo	icon	icon
barbie	Barbie	barbie.com	icon	logo	logo
airasia	AirAsia	airasia.com	icon	logo	logo
lays	Lay's	lays.com	logo	icon	icon
axe	AXE	axe.com	logo	icon	icon
garnier	Garnier	garnier.com	logo	icon	empty
titan-company	Titan Company	titancompany.in	logo	icon	icon
tj-maxx	TJ Maxx	tjmaxx.tjx.com	logo	icon	icon
